"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"77","글Hㅔ형 달력 언제 올ㄲ ㅏ,,, 대한통운 옥천허브인가 파업중이라구 했던 것 같은데... 올해안에만 오면 대지 머,, 기사님들 하띵,,,",FALSE,0,NA,2018-11-25 08:35:03,FALSE,NA,"1066611208462098435",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ex_oduck",0,FALSE,FALSE,NA,NA
"78","대한통운 이달의 우수 사원들 https://t.co/V5O0YadrNu",FALSE,0,NA,2018-11-25 08:14:45,FALSE,NA,"1066606099116122119",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","QUEENchoimango",0,FALSE,FALSE,NA,NA
"79","RT @soonhearim: CJ대한통운 택배기사들 ""경찰 물리력에 부상자 발생"" 주장 https://t.co/jLVkL5DYHu",FALSE,0,NA,2018-11-25 08:02:49,FALSE,NA,"1066603096904593408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jsy8104",5,TRUE,FALSE,NA,NA
"80","RT @taekbaenojo: CJ대한통운과 경찰의 택배노동자 폭력을 고발합니다.(창원성산 터미널) https://t.co/8R8c80WE5t - @YouTube",FALSE,0,NA,2018-11-25 07:58:26,FALSE,NA,"1066601992829624320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RRT_0417",5,TRUE,FALSE,NA,NA
"81","CJ대한통운택배파업 연대투쟁 중 https://t.co/6H6aLBiFrK",FALSE,1,NA,2018-11-25 07:58:06,FALSE,NA,"1066601911858548736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","XYJpLmMS5fkc0W3",1,FALSE,FALSE,NA,NA
"82","청원 부탁드려요ㅠㅠ
CJ대한통운의 노사 대화가 이뤄질 수 있도록 정부가 나서주세요 https://t.co/o8I14S86ej",FALSE,0,NA,2018-11-25 07:43:09,FALSE,NA,"1066598147265200128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","unibh0506",0,FALSE,FALSE,NA,NA
"83","RT @masterkeaton1: 중학생까지 야간노동을 시킨 혹은 방기한  cj 대한통운, (배달중 사고로 사망한)무면허 10대에게 오토바이 배달을 맡긴 치킨집 사장. 왜 한국 사회는 아직도 아동착취 노동이 만연한 채로 남아 있어야 하나? 마음이 많…",FALSE,0,NA,2018-11-25 07:41:23,FALSE,NA,"1066597704531292161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kiltaemilove",4068,TRUE,FALSE,NA,NA
"84","택배파업 CJ대한통운 물류 대란 연이은 사고에 총파업 (출처 : 뉴이스 | 네이버TV) https://t.co/jIrpW7rF4o",FALSE,0,NA,2018-11-25 07:01:35,FALSE,NA,"1066587688474529793",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","i7I4NxVsp9oPSkl",1,FALSE,FALSE,NA,NA
"85","RT @Golden_kku: [안내] CJ 대한통운 택배파업으로 인한 일부지역 배송지연 안내 https://t.co/vVTmZIOusK",FALSE,0,NA,2018-11-25 06:57:11,FALSE,NA,"1066586579148333056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hmkim10111",87,TRUE,FALSE,NA,NA
"86","RT @aransistore: 10명중 4명이 사먹는 물 '삼다수'..이르면 다음주부터 마트·편의점서 못산다 | 다음 뉴스 https://t.co/DdvhkMZdui

불합리해 보이고 괜한 피해를 보는 것 같아도, 결국 근로자 안전을 평소에 못 챙기…",FALSE,0,NA,2018-11-25 06:54:42,FALSE,NA,"1066585956478738432",NA,"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>","_WHENDI_",3289,TRUE,FALSE,NA,NA
